Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Nov 13 2016,8:00p,Phoenix Suns,120,Golden State Warriors,133,Box Score,,19596,Oracle Arena,
Sun Nov 13 2016,9:00p,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,,19362,Moda Center,
Mon Nov 14 2016,7:00p,Orlando Magic,69,Indiana Pacers,88,Box Score,,14825,Bankers Life Fieldhouse,
Mon Nov 14 2016,7:30p,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,,14172,The Palace of Auburn Hills,
Mon Nov 14 2016,7:30p,Dallas Mavericks,77,New York Knicks,93,Box Score,,19812,Madison Square Garden (IV),
Mon Nov 14 2016,8:00p,Philadelphia 76ers,88,Houston Rockets,115,Box Score,,13183,Toyota Center,
Mon Nov 14 2016,8:00p,Boston Celtics,105,New Orleans Pelicans,106,Box Score,,15001,Smoothie King Center,
Mon Nov 14 2016,8:30p,Miami Heat,90,San Antonio Spurs,94,Box Score,,18418,AT&T Center,
Mon Nov 14 2016,9:00p,Memphis Grizzlies,102,Utah Jazz,96,Box Score,,18176,Vivint Smart Home Arena,
Mon Nov 14 2016,10:30p,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,,19060,STAPLES Center,
Tue Nov 15 2016,7:00p,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,,20562,Quicken Loans Arena,
Tue Nov 15 2016,7:30p,Atlanta Hawks,93,Miami Heat,90,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 15 2016,8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,10349,Target Center,
Tue Nov 15 2016,10:00p,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,,19393,Moda Center,
Tue Nov 15 2016,10:30p,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,,18426,STAPLES Center,
Wed Nov 16 2016,7:00p,Cleveland Cavaliers,93,Indiana Pacers,103,Box Score,,17022,Bankers Life Fieldhouse,
Wed Nov 16 2016,7:00p,New Orleans Pelicans,82,Orlando Magic,89,Box Score,,16127,Amway Center,
Wed Nov 16 2016,7:00p,Washington Wizards,102,Philadelphia 76ers,109,Box Score,,14863,Wells Fargo Center,
Wed Nov 16 2016,7:30p,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,,14656,Philips Arena,
Wed Nov 16 2016,7:30p,Dallas Mavericks,83,Boston Celtics,90,Box Score,,18624,TD Garden,
Wed Nov 16 2016,7:30p,Detroit Pistons,102,New York Knicks,105,Box Score,,19812,Madison Square Garden (IV),
Wed Nov 16 2016,8:00p,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,,18203,Chesapeake Energy Arena,
Wed Nov 16 2016,8:00p,Golden State Warriors,127,Toronto Raptors,121,Box Score,,21050,Air Canada Centre,
Wed Nov 16 2016,9:00p,Phoenix Suns,104,Denver Nuggets,120,Box Score,,10247,Pepsi Center,
Wed Nov 16 2016,10:30p,Memphis Grizzlies,111,Los Angeles Clippers,107,Box Score,,19060,STAPLES Center,
Wed Nov 16 2016,10:30p,San Antonio Spurs,110,Sacramento Kings,105,Box Score,,17608,Golden 1 Center,
Thu Nov 17 2016,7:00p,New York Knicks,112,Washington Wizards,119,Box Score,,16704,Verizon Center,
Thu Nov 17 2016,7:30p,Milwaukee Bucks,73,Miami Heat,96,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 17 2016,8:00p,Portland Trail Blazers,109,Houston Rockets,126,Box Score,,15550,Toyota Center,
Thu Nov 17 2016,8:00p,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,,16866,Target Center,
Thu Nov 17 2016,10:30p,Chicago Bulls,85,Utah Jazz,77,Box Score,,19911,Vivint Smart Home Arena,
Fri Nov 18 2016,7:00p,Atlanta Hawks,96,Charlotte Hornets,100,Box Score,,17989,Spectrum Center,
Fri Nov 18 2016,7:00p,Phoenix Suns,116,Indiana Pacers,96,Box Score,,16780,Bankers Life Fieldhouse,
Fri Nov 18 2016,7:30p,Detroit Pistons,81,Cleveland Cavaliers,104,Box Score,,20562,Quicken Loans Arena,
Fri Nov 18 2016,8:00p,Golden State Warriors,104,Boston Celtics,88,Box Score,,18624,TD Garden,
Fri Nov 18 2016,8:00p,Portland Trail Blazers,101,New Orleans Pelicans,113,Box Score,,15552,Smoothie King Center,
Fri Nov 18 2016,8:00p,Brooklyn Nets,105,Oklahoma City Thunder,124,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 18 2016,8:30p,Memphis Grizzlies,80,Dallas Mavericks,64,Box Score,,19715,American Airlines Center,
Fri Nov 18 2016,9:00p,Toronto Raptors,113,Denver Nuggets,111,Box Score,OT,12476,Pepsi Center,
Fri Nov 18 2016,10:30p,San Antonio Spurs,116,Los Angeles Lakers,107,Box Score,,18997,STAPLES Center,
Fri Nov 18 2016,10:30p,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,,17608,Golden 1 Center,
Sat Nov 19 2016,5:00p,Utah Jazz,102,Houston Rockets,111,Box Score,,14760,Toyota Center,
Sat Nov 19 2016,7:00p,Boston Celtics,94,Detroit Pistons,92,Box Score,,16107,The Palace of Auburn Hills,
